index,ground_truth,google_transcription,wer,cer,tts_time,stt_time,audio_duration,rtf
0,Và mọi chuyện thì chưa dừng lại ở đó.,Và mọi chuyện thì chưa dừng lại ở đó.,0.0,0.0,2.5666102999821305,2.3145592999644578,3.048,0.759369849069704
1,"Tuy nhiên, quá trình này không diễn ra lâu.",Ừ.,1.0,1.0,21.009428800083697,1.678592599928379,0.048,34.970679165174566
2,Đây là những chiếc kẹn chim nước được làm bằng sứ.,Đây là những chiếc kén chim nước được làm bằng sứ.,0.09090909090909091,0.02040816326530612,1.6344139000866562,2.5051685001235455,3.648,0.6867238213057965
3,Chứ đó. Đâu ra?,Chữ đó đâu ra?,0.25,0.07692307692307693,1.6100830000359565,1.8006834001280367,2.52,0.714556904812713
4,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,Nhưng vì một lý do nào đó mà Nina đã block luôn người yêu cũ.,0.0,0.0,1.9133828000631183,3.2673851000145078,6.12,0.5338864542507366
5,Bản báo cáo miêu tả tâm trạng.,Bản báo cáo miêu tả tâm trạng.,0.0,0.0,1.2098803000990301,1.0718361001927406,2.4,0.4465983750803086
6,"Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.","Thuật ngữ Musou, xuất phát từ tên tiếng Nhật của Series Warriors, đã trở thành từ dùng để gọi các tựa game được tạo ra với cùng một công thức như trên.",0.0,0.0,2.213951600017026,3.101344400085509,10.056,0.30840735879927494
7,Thì kết thúc này quen lắm.,Thì kết thúc này quen lắm.,0.0,0.0,1.572411400033161,2.13573390012607,2.352,0.9080501276046216
8,Cậu có nhìn thấy không?,Cậu có nhìn thấy không?,0.0,0.0,1.476797099923715,1.9915883999783546,2.616,0.7613105504504413
9,"Nhìn từng người dân, từng ngôi nhà bị phá mà lòng tôi đau đớn.",Nhìn từng người dân từng ngôi nhà bị phá mà lòng tôi đau đớn.,0.0,0.0,2.0836775000207126,2.0993489001411945,5.256,0.39941950154893346
10,"Đại tá Trần Đình Hưng, Phó Chỉ huy trưởng, Tham mưu trưởng, Bộ Chỉ huy quân sự tỉnh.",Đại tá Trần Đình Hưng phó chỉ huy trưởng tham mưu trưởng bộ chỉ huy quân sự tỉnh.,0.0,0.0,1.8337446001823992,1.8733443999662995,6.048,0.3097460978780257
11,"Trong bầu không khí náo nhiệt của giảp hát, hùng thủ rút khẩu súng ra, ông Derringer 44 ly, dí sát đầu tổng thống mà ná đạn.","Trong bầu không khí náo nhiệt của rạp hát, hùng thủ rút khẩu súng ra. Ông Deringer 44 ly dí sát đầu tổng thống mà ná đại.",0.1111111111111111,0.041666666666666664,3.259606200037524,2.6665984999854118,10.008,0.26644669264442566
12,"Một, một ngày hãy làm tốt vài điều mình muốn làm.",Một một ngày hãy làm tốt vài điều mình muốn làm.,0.0,0.0,1.7178271000739187,2.0348918999079615,4.608,0.4415998046675264
13,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,Kế hoạch là vậy nhưng cả Pháp lẫn Tây Ban Nha vẫn chưa xác định được nơi nào phù hợp để mở màn chiến dịch.,0.0,0.0,2.1093109999783337,2.9043297001626343,7.416,0.39163021846853213
14,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,Bà cho rằng các cuộc xung đột giữa Hồi giáo và Phật giáo không phải là một cuộc thanh lọc sắc tộc như giới chức quốc tế nhận định.,0.0,0.0,2.074369099922478,2.7864454998634756,7.92,0.35182392675043883
15,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hy vọng và mong ước.,Tết là dịp mọi người háo hức đón chào một năm mới với nhiều hi vọng và mong ước.,0.05263157894736842,0.012658227848101266,1.8472090000286698,2.389748299960047,6.216,0.38445114220721477
16,Ám sát kẻ thù của quốc gia.,Ám sát kẻ thù của quốc gia.,0.0,0.0,1.4840991999953985,2.175392200006172,3.264,0.6664804534332636
17,Xếp trồi lên và gợi ý bạn.,Xếp chùi lên và gợi ý bạn.,0.14285714285714285,0.12,1.5700026000849903,1.8693419999908656,2.856,0.6545315126018437
18,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,Những thay đổi đó bây giờ cũng được marketing là những thay đổi lớn và đột phá mỗi năm.,0.0,0.0,1.845527600031346,2.24731109989807,7.056,0.31849647107398954
19,"Hãy gạt bỏ chúng qua hẳn một bên, rồi chuẩn bị vun đắp thói quen sống trong những ngăn tàu đóng chặt kín.",Hãy gạt bỏ chúng qua hẳn một bên rồi chuẩn bị vun đắp thói quen sống trong những năm tàu đóng chặt kín.,0.043478260869565216,0.019417475728155338,2.1603842000477016,2.730065800016746,7.56,0.3611198148170299
20,Mà bước chân bối rối.,Mà bước chân bối rối.,0.0,0.0,3.021692799869925,2.1980163999833167,2.352,0.934530782305832
21,Bảo đi chơi cũng không.,Bảo đi chơi cũng không.,0.0,0.0,1.1251579001545906,1.0681183999404311,2.664,0.40094534532298465
22,"Đầu tiên là do đồng yên liên tục mất giá trong năm 2023, làm xói mòn lợi nhuận xuất khẩu.",Đầu tiên là do Đồng Yên liên tục mất giá trong năm 2023 làm xói mòn lợi nhuận xuất khẩu.,0.0,0.0,1.9445711998268962,1.6882885000668466,7.416,0.22765486786230402
23,"Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.","Năm 2015, Việt Nam chọn hệ thống tiên lửa Spider làm hệ thống tiên lửa phòng không tầm trung mới.",0.0,0.0,2.163698500022292,2.56845930009149,6.864,0.3741927884748675
24,"Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.","Trong những năm gần đây, Starbucks đã tăng giá các sản phẩm của mình để đối phó với lãng phát và chi phí lao động tăng cao.",0.0,0.0,2.09949819999747,2.5230139000341296,8.16,0.3091928799061433
25,"Như vậy, thật ra sát xuất để ô tô ở cửa 1 và cửa 3 không phải là bằng nhau.",Như vậy thật ra sát suất để ô tô ở cửa 1 và cửa 3 không phải là bằng nhau.,0.05,0.0136986301369863,1.880875299917534,2.1694269001018256,5.808,0.3735239153067882
26,"Kiểm soát cảm xúc thực chất là một quá trình đánh giá lại bản thân, để tìm thấy tự do, thoát khỏi sự cuốn hút của chính bản ngã.","Kiểm soát cảm xúc, thực chấp là một quá trình đánh giá lại bản thân để tìm thấy tự do, thoát khỏi sự cuốn hút của chính bản ngã.",0.034482758620689655,0.008,2.122412000084296,3.0156240998767316,9.6,0.31412751040382625
27,"Thứ hai, trong khẩu vũ khí có nòng còn bảy viên.","Thứ hai, trong khẩu vũ khí có nòng còn bảy viên.",0.0,0.0,1.607597199967131,1.314490499906242,4.416,0.2976654211744207
28,"Trước đó, phóng viên thông tấn xã Việt Nam đã đưa tin trong giờ ra chơi tiết 2, nam sinh lớp 10 trường Trung học Phổ thông Đào Duy Từ bất ngờ rơi từ tầng 4 của nhà trường và bị đa chấn thương.","Trước đó, phóng viên thông tấn xã Việt Nam đã đưa tin trong giờ ra chơi tiết hai, nam sinh lớp 10, trường Trung học phổ thông Bảo Duy Từ bất ngờ rơi từ tầng bốn của nhà trường và bị đa chấn thương.",0.06818181818181818,0.042328042328042326,4.0843789000064135,2.335703199962154,12.816,0.1822490012454864
29,Với giá cao hơn đá thị trường.,Với giá cao hơn đá thị trường.,0.0,0.0,1.5070638000033796,1.9588212000671774,2.712,0.7222792035645934
30,"Chiến thuật này đã kích cầu việc mua rượu, và ngay sau đó, ông bán được một số lượng rượu lớn từ những người khách đó.",Chiến thuật này đã tích cầu việc mua rượu và ngay sau đó ông bán được một số lượng rượu lớn từ những người khách đó.,0.038461538461538464,0.008695652173913044,2.138992300024256,3.069466100074351,7.656,0.4009229493305056
31,Khỏi tâm trạng tiêu cực.,Khỏi tâm trạng tiêu cực.,0.0,0.0,1.05025490000844,1.3206399001646787,1.92,0.6878332813357702
32,"Để bảo vệ mình, Đài Loan có thể tận dụng nguồn lực mà họ đang có để thiết lập một khu vực cấm nhằm ngăn chặn hải quân của PLA từ việc xâm nhập vào phía đông của đảo.",để bảo vệ mình. Đài Loan có thể tận dụng nguồn lực mà họ đang có để thiết lập một khu vực cấm nhằm ngăn chặn hải quân của PLA từ việc xâm nhập vào phía đông của đảo.,0.0,0.0,4.04694309993647,3.1102062999270856,12.504,0.24873690818354813
33,Nga giặt hoài không ra.,Nga ghi giặt hoài không ra.,0.2,0.18181818181818182,1.4859235000330955,2.650900300126523,3.552,0.7463120214320166
34,Mọi chuyện không chỉ dừng lại ở đó.,Mọi chuyện không chỉ dừng lại ở đó.,0.0,0.0,1.8190546999685466,1.5270712000783533,2.952,0.5173005420319625
35,"Sáng hôm sau, Lacey nhận ra rằng cô đã không nhận được tin tức gì từ Tony hay Victoria cả đêm.","Sáng hôm sau, Lệ Si nhận ra rằng cô đã không nhận được tin tức gì từ Tony hay Victoria cả đêm.",0.09523809523809523,0.043478260869565216,2.0910153998993337,1.6169759000185877,7.32,0.2208983469970748
36,Vì vậy mà những chuyên binh nửa người nửa mái của Liên Xô đã không được sử dụng.,Vì vậy mà những chuyên binh nửa người nửa máy của Liên Xô đã không được sử dụng.,0.05555555555555555,0.012658227848101266,1.8268672002013773,2.300830699969083,5.952,0.3865642977098594
37,Nhưng Steve đã cho thấy cách thức những nguyên lý này phối hợp hoạt động giúp Amazon mở rộng quy mô không giống như bất kỳ công ty nào khác.,Steve đã cho thấy cách thức những nguyên lý này phối hợp hoạt động giúp Amazon mở rộng quy mô không giống như bất kỳ công ty nào khác.,0.03333333333333333,0.04316546762589928,2.221875699935481,2.536700899945572,10.2,0.2486961666613306
38,Nhưng vẫn có sự sống trong điều kiện khắc nghiệt này.,Nhưng vẫn có sự sống trong điều kiện khắc nghiệt này.,0.0,0.0,1.5111776001285762,3.145061400020495,5.112,0.6152311032903942
39,TV có không hình hiển thị sắc nét nhờ độ phân giải 4K và công nghệ bộ xử lý Crystal 4K.,TV có khung hình hiển thị sắc nét nhờ độ phân giải 4K và công nghệ bộ xử lý Crystal 4K.,0.047619047619047616,0.011627906976744186,1.9561333998572081,2.8152821001131088,7.92,0.355464911630443
40,"Còn hiện tại, tôi nghĩ rằng đó là 100% công việc.","Còn hiện tại, tôi nghĩ rằng đó là 100% công việc.",0.0,0.0,1.6873842999339104,1.7227467000484467,5.304,0.32480141403628326
41,"Cho hết hành lá vào, khuấy đều lên.",Cho hết hành lá vào khuấy đều lên.,0.0,0.0,1.45332539989613,2.0150667000561953,3.96,0.508855227286918
42,"Ví dụ 2, tính trung bình của dãy số.",Ví dụ 2 tính trung bình của dãy số.,0.0,0.0,1.5181152001023293,1.959306700155139,4.56,0.4296725219638463
43,Justin bỗng chốc vụt sáng thành ngôi sao toàn cầu.,Justin bỗng chốc vụt sáng thành ngôi sao toàn cầu.,0.0,0.0,1.6046833000145853,1.80195019999519,4.368,0.4125343864457852
44,"Đó là các anh chị hãy tạm đừng xem như đây là một cái khóa học theo kiểu bình thường, mà hãy xem như nó là một cái hành trình mà tôi sẽ cùng đồng hành với các anh chị trong khoảng 6 tháng tới.",Đó là các anh chị hãy tạm đừng xem như đây là một cái khóa học theo kiểu bình thường mà hãy xem như nó là một cái hành trình mà tôi sẽ cùng đồng hành với các anh chị trong khoảng sáu tháng tới.,0.022222222222222223,0.015789473684210527,2.280304300133139,4.413928699912503,11.712,0.3768723275198517
45,Ông ta vì thế tìm cách thương lượng với triều đình Huế nhưng bất thẳng.,Ông ta vì thế tìm cách thương lượng với triều đình Huế nhưng bất thành.,0.06666666666666667,0.02857142857142857,1.821221600053832,1.4024690000806004,5.664,0.2476110522741173
46,Để mà nếu mà cấp cho mình thì rủi bên kia khiếu nại sao?,Để mà nếu mà cấp cho mình thì rủi bên kia khiếu nại sao?,0.0,0.0,1.5859257001429796,1.782112100161612,4.752,0.37502359010134934
47,Hãy cùng bắt đầu nhá!,Hãy cùng bắt đầu nha.,0.2,0.05,1.2920168999116868,1.0629269999917597,2.808,0.37853525640732183
48,Giờ thổi lửa rồi.,Giờ thổi lửa rồi.,0.0,0.0,1.2697093000169843,1.256169900065288,3.12,0.4026185577132333
49,Hãy để cho những cơn gió của lòng nhiệt thanh quét qua mình.,Hãy để cho những cơn gió của lòng nhiệt thanh quét qua mình.,0.0,0.0,1.8140392999630421,1.839097399963066,4.848,0.37935177391977437
50,Anh ta cũng làm như vậy ở tầng 2 và lên đến nóc nhà.,Anh ta cũng làm như vậy ở tầng hai và lên đến nóc nhà.,0.07142857142857142,0.058823529411764705,1.527084399946034,3.1782758999615908,4.56,0.6969903289389454
51,Bước đầu tiên là chữ cái ai.,Bước đầu tiên là chữ cái ai?,0.0,0.0,2.1410324000753462,2.5380836999975145,3.504,0.7243389554787427
52,"Nếu anh không làm như thế này, thì em sẽ như thế này như thế kia.",Nếu anh không làm như thế này thì em sẽ như thế này như thế kia.,0.0,0.0,2.4191605001688004,1.4331072000786662,5.664,0.25302033899693965
53,Bởi một thông điệp sẽ trở nên vô nghĩa.,Bởi một thông điệp sẽ trở nên vô nghĩa.,0.0,0.0,1.4285513998474926,1.4487315998412669,3.552,0.4078636260814377
54,"Hơi chát chát, hơi chua chua một chút.","Hơi chát chát, hơi chua chua một chút.",0.0,0.0,1.484849700005725,2.123270999873057,3.312,0.6410842390921067
55,Casey đã rất nghiêm túc.,KC đã rất nghiêm túc.,0.2,0.21739130434782608,1.0685499999672174,1.757253299932927,2.352,0.7471315050735233
56,Sẽ nhìn thấy nó hơi như nâu vàng như vầy nè.,Sẽ nhìn thấy nó hơi như nâu vàng như vậy nè.,0.09090909090909091,0.023255813953488372,1.584226799895987,2.0094164998736233,4.848,0.4144836014590807
57,"Thầy không chỉ mang đến những bài học thú vị, đầy tính trải nghiệm, mà còn rất quan tâm đến học sinh.",Thầy không chỉ mang đến những bài học thú vị đầy tính trải nghiệm mà còn rất quan tâm đến học sinh.,0.0,0.0,1.8844936999958009,2.6804049001075327,7.248,0.3698130380943064
58,Còn không thì mèo sẽ không bao giờ cảm thấy buồn chán.,Còn không thì mèo sẽ không bao giờ cảm thấy buồn chán.,0.0,0.0,1.5669488001149148,1.2107063999865204,3.72,0.3254587096737958
59,"Vinh đã vào bên trong sư khấu rồi, khán giả và ekip đã có mặt đầy đủ để sẵn sàng cho buổi biểu diễn của các chị đẹp.",Vinh đã vào bên trong sân khấu rồi khán giả và ekip đã có mặt đầy đủ để sẵn sàng cho buổi biểu diễn của các chị đẹp.,0.03571428571428571,0.017543859649122806,1.959765300154686,2.673008699901402,7.8,0.3426934230642823
60,Điều này chỉ càm làm chắc chắn thêm những gì mà chúng ta đã nói với nhau từ trước.,Điều này chỉ cần làm chắc chắn thêm những gì mà chúng ta đã nói với nhau từ trước.,0.05263157894736842,0.024691358024691357,1.7042274998966604,2.6251463999506086,5.712,0.45958445377286566
61,"Lý do vẫn còn đang được tranh luận, nhưng hầu hết các nhà khoa học tin rằng nó liên quan đến sự căng thẳng khi bắt đầu một tuần làm việc mới, hoặc những thay đổi trong chu kỳ ngủ thức của chúng ta.","Lý do vẫn còn đang được tranh luận, nhưng hầu hết các nhà khoa học tin rằng nó liên quan đến sự căng thẳng khi bắt đầu một tuần làm việc mới hoặc những thay đổi trong chu kỳ ngủ thức của chúng ta.",0.0,0.0,2.286949699977413,3.060060099931434,12.12,0.2524802062649698
62,"Chắc chắn rồi, nếu bạn chuẩn bị du hành vào vũ trụ, một trong những điều đầu tiên mà bạn nghĩ đến sẽ là bộ đồ du hành vũ trụ của mình.","Chắc chắn rồi, nếu bạn chuẩn bị du hành vào vũ trụ, một trong những điều đầu tiên mà bạn nghĩ đến sẽ là bộ đồ du hành vũ trụ của mình.",0.0,0.0,2.023077600169927,2.5905285999178886,9.6,0.2698467291581134
63,"Chúng ta cãi lộn, chúng ta bực bội, chúng ta không hạnh phúc với nhau vì một khởi nguồn tử tế.","Chúng ta cãi lộn, chúng ta bực bội, chúng ta không hạnh phúc với nhau vì một khởi nguồn tử tế.",0.0,0.0,1.940318200038746,2.344715700019151,7.464,0.3141366157581928
64,Alfred Jarry 1873-1907 hợp những nhà văn đổi tiếng như.,"Alfred Jerrry 1873 to 1907, hợp những nhà văn đổi tiếng như",0.4,0.11320754716981132,1.646465300116688,2.1116593999322504,5.808,0.36357772037401004
65,"Đến hết tháng 11 năm 2023, tỷ lệ giải ngân vốn đầu tư công đạt trên 67% kế hoạch vốn giao.","Đến hết tháng 11 năm 2023, tỷ lệ giải ngân vốn đầu tư công đạt trên 67% kế hoạch vón giao.",0.047619047619047616,0.011494252873563218,1.9623480001464486,1.554140199907124,7.92,0.19622982322059648
66,Mày tính chơi với tao đúng không? Ngon thì đánh thử coi.,Mày tính chơi với tao đúng không? Ngon thì đánh thử coi.,0.0,0.0,1.5649415999650955,1.35603759996593,4.752,0.2853614478042782
67,Chết rồi.,Chết rồi.,0.0,0.0,1.0084431001450866,1.9330744000617415,2.4,0.8054476666923923
68,Mọi thứ đều kinh khủng mà.,Mọi thứ đều kinh khủng mà.,0.0,0.0,1.3529572999104857,1.1288322999607772,3.0,0.37627743332025904
69,"Đó là để đối mặt với thế giới lạnh lùng, tàn khốc này, chứ không phải là để phàn nàn về cái thời đại khoan dung vĩ đại đó.",Đó là để đối mặt với thế giới lạnh lùng tàn khốc này chứ không phải là để phàn nàn về cái thời đại khoan dung vĩ đại đó.,0.0,0.0,2.188772400142625,2.3834749998059124,8.448,0.28213482478763163
70,Sau đó tôi lại mồi trài mọi người đánh bót để hít ké.,Sau đó tôi lại mồi chài mọi người đánh bot để hít ké.,0.15384615384615385,0.057692307692307696,1.7207508999854326,1.289646799908951,4.464,0.2888993727394603
71,"Gia nhập đường đua kinh dị bằng một kịch bản truyền thể từ bộ truyện tranh Taste of Horror được đăng tải trên nền tảng Naver Webtoon, lấy cảm hứng từ truyền thuyết đô thị của sứ Hàn.","Gia nhập đường đua kinh dị bằng một kịch bản truyền thể từ bộ truyện tranh Taste of Horror được đăng tải trên nền tảng Nave Webtoon, lấy cảm hứng từ truyền thuyết đô thị của xứ Hàn.",0.05263157894736842,0.011111111111111112,2.562720000045374,2.785405399976298,12.864,0.21652716106780923
72,Tiếp đến là mỗi người sẽ được 1 bát súp miso.,Tiếp đến là mỗi người sẽ được một bát súp miso.,0.09090909090909091,0.06818181818181818,1.4965158998966217,2.0181430999655277,4.32,0.4671627546216499
73,Đây là những vận động viên luyện tập và thi đấu chuyên nghiệp để chinh chiến các giải chạy lớn khắp thế giới.,Đây là những vận động viên luyện tập và thi đấu chuyên nghiệp để chinh chiến các giải chạy lớn khắp thế giới.,0.0,0.0,1.8554481000173837,1.5617388000246137,7.152,0.21836392617793815
74,Em biết là tầm quan trọng của nó rồi.,Em biết là tầm quan trọng của nó rồi.,0.0,0.0,1.6194921000860631,2.0992638000752777,3.456,0.6074258680773373
75,Về cơ bản là cách tiếp cận theo cảm xúc đối với quá trình ra quyết định.,Về cơ bản là cách tiếp cận theo cảm xúc đối với quá trình ra quyết định.,0.0,0.0,1.5521170999854803,1.3937782000284642,5.16,0.2701120542690822
76,"Để không khí ngày Tết trọn vẹn và đủ đầy, các gia đình người Mường thường gói rất nhiều các loại bánh truyền thống như bánh ống, bánh ốc, bánh uây, bánh nẳng, bánh dày và bánh trưng ống là loại bánh không thể thiếu.","Để không khí này tệ trọn vẹn và đủ đầy, các gia đình người Mường thường gói rất nhiều các loại bánh truyền thống như bánh ống, bánh ốc, bánh uôi, bánh nẳng, bánh dày và bánh chưng ống là loại bánh không thể thiếu.",0.08888888888888889,0.03349282296650718,2.931669499957934,3.479774999897927,17.256,0.201655945752082
77,Người Mỹ đổ lỗi cho người Tây Ban Nha và bắt đầu một cuộc chiến tranh.,Người Mỹ đổ lỗi cho người Tây Ban Nha và bắt đầu một cuộc chiến tranh.,0.0,0.0,1.7143849001731724,1.4497503999155015,6.048,0.2397074073934361
78,Hoặc là tùy theo nhà mình ăn ít thì cho ít.,Hoặc là tùy theo nhà mình ăn ít thì cho ít.,0.0,0.0,1.3867939999327064,1.15386370010674,3.648,0.31630035638890897
79,"Video này rất ngắn, nên bạn hãy xem đến hết để không bỏ qua bất kỳ thông tin nào các bạn nhé.",Video này rất ngắn nên bạn hãy xem đến hết để không bỏ qua bất kỳ thông tin nào các bạn nhé.,0.0,0.0,1.9008482000790536,1.729875799966976,7.056,0.245163803850195
80,Sau khi cho tất cả các nguyên liệu vào hết thì bây giờ mình sẽ quậy lên cho nó tan gia vị và cuối cùng là mình cho cái phần ngò rí vào và mình sẽ nấu.,Sau khi cho tất cả các nguyên liệu vào hết thì bây giờ mình sẽ quậy lên cho nó tan gia vị. Và cuối cùng là mình cho cái phần ngò dí vào và mình sẽ nấu.,0.02702702702702703,0.006711409395973154,2.1976222000084817,1.8817672000732273,10.752,0.17501555060204865
81,Giả tăng tính minh bạch.,Giả tăng tính minh bạch.,0.0,0.0,1.010111300041899,1.0014543000143021,2.16,0.46363625000662134
82,Nhưng chúng sẽ không xảy ra nếu như chúng ta không cho phép.,Nhưng chúng sẽ không xảy ra nếu như chúng ta không cho phép.,0.0,0.0,1.6254499000497162,1.4490111998748034,5.52,0.2625020289628267
83,Cậu ta đang bị treo lên và toàn bộ phần thân dưới đã biến mất.,Cậu ta đang bị treo lên và toàn bộ phần thân dưới đã biến mất.,0.0,0.0,1.6064080998767167,2.1273955998476595,5.064,0.42010181671557256
84,Và ngoài ra thì máy cũng sẽ được trang bị bảo mật khá là kỹ càng như là bảo mật vào ngân tay như mình đã nói ở trên nè.,Ngoài ra thì máy cũng sẽ được trang bị bảo mật khá là kỹ càng như là bảo mật vào ngân tay như mình đã nói ở trên nè.,0.03333333333333333,0.025423728813559324,1.9855251000262797,1.7207492999732494,8.904,0.19325576145252127
85,Thì chúng ta sẽ chẳng bao giờ tìm thấy được.,Thì chúng ta sẽ chẳng bao giờ tìm thấy được.,0.0,0.0,1.4151687000412494,2.3918300000950694,3.6,0.6643972222486304
86,"Kẻ mà suốt thời gian qua Huo Huo lo lắng chạy ngược chạy xuôi tìm kiếm, lại luôn ở gần ngay trước mắt.",Kẻ mà suốt thời gian qua thua thua lo lắng chạy ngược chạy xuôi tìm kiếm lại luôn ở gần ngay trước mắt.,0.08695652173913043,0.04,1.8961763998959213,1.6996814999729395,7.368,0.23068424266733706
87,"Trong những năm qua, tỉnh Hòa Bình đã tập trung nguồn lực ưu tiên phát triển đồng bộ hạ tầng giao thông, đặc biệt là giao thông kết nối vùng và các dự án giao thông trọng điểm, tạo đột phá phát triển kinh tế xã hội của tỉnh.","Trong những năm qua, tỉnh Hòa Bình đã tập trung nguồn lực ưu tiên phát triển đồng bộ hạ tầng giao thông, đặc biệt là giao thông kết nối vùng và các dự án giao thông trọng điểm, tạo lột phá phát triển kinh tế xã hội của tỉnh.",0.02040816326530612,0.004545454545454545,2.4472084001172334,4.056156700011343,13.056,0.310673766851359
88,"Thế là xong, chúng ta đã làm được 1 chiếc kính lúp tự chế từ nước và bóng đèn.","Thế là xong, chúng ta đã làm được một chiếc kính lúp tự chế từ nước và bóng đèn.",0.05263157894736842,0.039473684210526314,2.432447699829936,1.5710048000328243,6.168,0.254702464337358
89,Thê La đóng vai trò tạo đi búp lên người đối phương do búp có lợi của kẻ thù.,Thế là đóng vai trò tạo đi búp lên người đối phương do búp có lợi của kẻ thù.,0.10526315789473684,0.02631578947368421,1.9197352998889983,1.6526897998992354,7.248,0.22802011588013732
90,Anh hắng giọng.,Anh không sợ.,0.6666666666666666,0.5,0.9225763999857008,0.8798760001081973,1.2,0.7332300000901645
91,Và 1 muỗng cà phê tiêu luôn.,Và một muỗng cà phê tiêu luôn.,0.14285714285714285,0.1111111111111111,1.1491658999584615,1.129671299830079,2.568,0.43990315413943887
92,"Lúc khoảng 2 giờ 20 phút sáng ngày thứ Bảy hay 8 tháng 11, tôi thức giấc vì nghe thấy mảnh kính vỡ rất mạnh.","Lúc khoảng 2:20 sáng ngày thứ bảy hay 8 tháng 11, tôi thức giấc vì nghe thấy mảnh kính vỡ rất mạnh.",0.16,0.09433962264150944,2.1673447000794113,2.556800700025633,8.856,0.288708299460889
93,Chúc các bạn có những bữa cơm gia đình thật ngon miệng nha.,Chúc các bạn có những bữa cơm gia đình thật ngon miệng nha.,0.0,0.0,1.4717739999759942,1.9805431999266148,3.6,0.550150888868504
94,Srimad Bhagavad Gita xuất hiện trong Mahabharata một trong hai sử thi thiên liêng vĩ đại của Ấn Độ.,Srimad Bhagavad Gita xuất hiện trong Mahabharata một trong hai sử thi thiên niên vĩ đại của Ấn Độ.,0.05263157894736842,0.02040816326530612,2.084660500055179,2.3083286001347005,8.664,0.26642758542644285
95,Bằng cách thì các bạn sẽ kết nối iPhone này vào máy tính thông qua cái dây cáp đúng không?,Bằng cách thì các bạn sẽ kết nối iPhone này vào máy tính thông qua cái dây cáp đúng không?,0.0,0.0,1.5834802999161184,1.3389000000897795,5.016,0.2669258373384728
96,Để từ đó ông ta làm việc cho mình.,Để từ đó ông ta làm việc cho mình.,0.0,0.0,1.5076862000860274,1.2113673000130802,4.464,0.27136364247604844
97,Khởi động.,Khởi động.,0.0,0.0,1.9196085999719799,0.9915849000681192,2.208,0.4490873641612858
98,"Thêm vào đó, dạ dây là một cơ quan linh hoạt.","Thêm vào đó, Dạ dây là một cơ quan linh hoạt.",0.0,0.0,1.4708230001851916,1.5529513999354094,4.2,0.3697503333179546
99,Số trang đánh dấu có liền mạch hay không để mà đảm bảo không có bị người ta chừa trống thì người ta có thể điền thông tin vào.,Số trang đánh dấu có liền mạch hay không để mà đảm bảo không có bị người ta chừa trống thì người ta có thể điền thông tin vào.,0.0,0.0,1.9964120998047292,1.6181950999889523,8.352,0.19374941331285347
